id,stationName,totalDocks,latitude,longitude,landMark
1297,100 Manufacturers Rd,19,35.063014,-85.31046900000001,Renaissance Park
1299,200 River St Outdoor Chattanooga,25,35.06141,-85.306574,Outdoor Chattanooga / Coolidge Park
1301,301 Manufacturers Rd,15,35.063304,-85.315211,2 North Shore Shopping Center
1303,215 Broad St,19,35.053928,-85.31092500000001,Shuttle Park North (CARTA)
1305,Market St & E 14th St,19,35.036904,-85.30726900000002,Chattanooga Choo Choo
1307,Market & E 4th Street,18,35.052701,-85.309483,Hair of the Dog
1309,Market St & W 12th St,15,35.042774,-85.30933099999999,TVA / Warehouse Row
1311,Market St & Cowart St,19,35.040771,-85.30839399999999,Development Resource Center
1313,Chestnut St & Riverfront Pkwy,19,35.056655,-85.310487,Ross's Landing 
1315,Carter St & W 12th St,15,35.043366999999996,-85.31276199999999,Convention Center
1317,Broad St & W 6th St,15,35.049428999999996,-85.310399,Regions Bank
1319,100 Walnut St,15,35.05568699999999,-85.30781300000001,Walnut Street Square
1321,High St & E 2nd St,15,35.05416099999999,-85.30544799999998,Bluff View Arts District
1323,Power Alley & Riverfront Pkwy,17,35.055582,-85.31279699999999,River Pier Landing
1325,Market St & ML King Blvd,11,35.045603,-85.309207,Miller Park
1327,ML King Blvd & Lindsay St,19,35.044973,-85.307015,Bessie Smith Cultural Center
1329,McCallie Ave & Lindsay St,19,35.047319,-85.30583399999999,Memorial Auditorium
1331,E 5th St & Collins St,19,35.047861999999995,-85.29718600000001,UTC / Holt Hall
1333,800 E 8th St,15,35.043639,-85.297988,UTC / University Greenway 
1335,Oak St & University Greenway,15,35.045057,-85.296087,UTC / Lockmiller Dorm
1337,Oak St & Houston St,14,35.047574,-85.30273899999999,UTC / Johnson Obear Apts.
1341,E Main St & Rossville Ave,15,35.035217,-85.30518699999999,Fire Hall No. 1
1343,Broad St & W 4th St,11,35.052510000000005,-85.310874,Majestic Theater
1345,Broad St & W 8th St,15,35.047205,-85.310675,James Building
1347,W Main St & Cowart St,14,35.037380999999996,-85.310411,Cross Fit
1349,1216 Broad St,15,35.040549,-85.309554,Chattanoogan Hotel & Conference Center
1351,1826 Carter St,14,35.037433,-85.315093,Finely Stadium
1353,500 Georgia Ave,19,35.050771,-85.30534599999999,Unum
1363,Broad St & W 10th St,15,35.044458,-85.310458,Library
1369,Douglas St,15,35.048285,-85.300237,UTC / Maclellan Gym
1373,Hubert Fry Center Tennessee Riverpark,25,35.096003,-85.25450300000001,Boat Ramp Entrance
1420,SpringHill Suites,15,35.05380099999999,-85.32021,SpringHill Suites
1421,Pine St. & W. 6th St.,15,35.049271,-85.312617,Liberty Tower
